-5.383395,	 -0.850877,	 -0.233648,	 0.407373,	 -2.378212,	 -1.029293,
-5.373964,	 -0.904344,	 -0.256795,	 0.436805,	 -2.373440,	 -1.027964,
-5.363872,	 -0.957702,	 -0.279912,	 0.466180,	 -2.368376,	 -1.026509,
-5.353119,	 -1.010942,	 -0.302994,	 0.495492,	 -2.363022,	 -1.024927,
-5.341707,	 -1.064060,	 -0.326040,	 0.524740,	 -2.357378,	 -1.023220,
-5.329638,	 -1.117048,	 -0.349046,	 0.553921,	 -2.351444,	 -1.021387,
-5.316914,	 -1.169900,	 -0.372010,	 0.583031,	 -2.345221,	 -1.019428,
-5.303534,	 -1.222610,	 -0.394928,	 0.612068,	 -2.338710,	 -1.017345,
-5.289502,	 -1.275170,	 -0.417799,	 0.641027,	 -2.331912,	 -1.015136,
-5.274818,	 -1.327575,	 -0.440619,	 0.669907,	 -2.324828,	 -1.012802,
-5.259486,	 -1.379818,	 -0.463385,	 0.698705,	 -2.317457,	 -1.010344,
-5.243507,	 -1.431892,	 -0.486095,	 0.727416,	 -2.309802,	 -1.007762,
-5.226882,	 -1.483792,	 -0.508745,	 0.756039,	 -2.301862,	 -1.005055,
-5.209614,	 -1.535510,	 -0.531334,	 0.784570,	 -2.293639,	 -1.002225,
-5.191705,	 -1.587041,	 -0.553857,	 0.813006,	 -2.285133,	 -0.999272,
-5.173157,	 -1.638378,	 -0.576313,	 0.841345,	 -2.276346,	 -0.996195,
-5.153972,	 -1.689515,	 -0.598699,	 0.869583,	 -2.267278,	 -0.992996,
-5.134153,	 -1.740445,	 -0.621012,	 0.897717,	 -2.257930,	 -0.989674,
-5.113701,	 -1.791162,	 -0.643249,	 0.925744,	 -2.248302,	 -0.986230,
-5.092621,	 -1.841660,	 -0.665407,	 0.953662,	 -2.238397,	 -0.982664,
-5.070913,	 -1.891933,	 -0.687484,	 0.981467,	 -2.228215,	 -0.978976,
-5.048581,	 -1.941974,	 -0.709477,	 1.009156,	 -2.217756,	 -0.975168,
-5.025626,	 -1.991777,	 -0.731383,	 1.036727,	 -2.207023,	 -0.971238,
-5.002052,	 -2.041337,	 -0.753200,	 1.064176,	 -2.196015,	 -0.967188,
-4.977862,	 -2.090646,	 -0.774924,	 1.091501,	 -2.184734,	 -0.963018,
-4.953058,	 -2.139699,	 -0.796554,	 1.118698,	 -2.173181,	 -0.958728,
-4.927643,	 -2.188489,	 -0.818086,	 1.145765,	 -2.161358,	 -0.954319,
-4.901621,	 -2.237011,	 -0.839517,	 1.172699,	 -2.149264,	 -0.949791,
-4.874994,	 -2.285259,	 -0.860846,	 1.199497,	 -2.136902,	 -0.945145,
-4.847765,	 -2.333226,	 -0.882069,	 1.226155,	 -2.124272,	 -0.940380,
-4.819937,	 -2.380907,	 -0.903184,	 1.252671,	 -2.111376,	 -0.935498,
-4.791514,	 -2.428295,	 -0.924188,	 1.279043,	 -2.098214,	 -0.930499,
-4.762499,	 -2.475384,	 -0.945078,	 1.305266,	 -2.084789,	 -0.925383,
-4.732896,	 -2.522169,	 -0.965852,	 1.331339,	 -2.071101,	 -0.920150,
-4.702707,	 -2.568644,	 -0.986508,	 1.357258,	 -2.057151,	 -0.914802,
-4.671937,	 -2.614802,	 -1.007042,	 1.383021,	 -2.042941,	 -0.909338,
-4.640588,	 -2.660638,	 -1.027452,	 1.408624,	 -2.028472,	 -0.903760,
-4.608665,	 -2.706147,	 -1.047736,	 1.434065,	 -2.013745,	 -0.898067,
-4.576170,	 -2.751322,	 -1.067890,	 1.459341,	 -1.998762,	 -0.892260,
-4.543109,	 -2.796157,	 -1.087913,	 1.484448,	 -1.983524,	 -0.886340,
-4.509485,	 -2.840647,	 -1.107801,	 1.509385,	 -1.968033,	 -0.880307,
-4.475301,	 -2.884787,	 -1.127553,	 1.534148,	 -1.952289,	 -0.874161,
-4.440561,	 -2.928570,	 -1.147166,	 1.558735,	 -1.936295,	 -0.867904,
