-0.827941,	 -1.180420,	 -0.519054,	 4.490333,	 -2.067017,	 -1.069421,
-0.804267,	 -1.191129,	 -0.524606,	 4.537564,	 -1.998651,	 -1.039339,
-0.780347,	 -1.201477,	 -0.529999,	 4.583643,	 -1.929345,	 -1.008796,
-0.756189,	 -1.211459,	 -0.535230,	 4.628544,	 -1.859112,	 -0.977795,
-0.731796,	 -1.221070,	 -0.540297,	 4.672242,	 -1.787964,	 -0.946342,
-0.707177,	 -1.230306,	 -0.545199,	 4.714711,	 -1.715915,	 -0.914443,
-0.682338,	 -1.239161,	 -0.549932,	 4.755926,	 -1.642979,	 -0.882103,
-0.657285,	 -1.247632,	 -0.554494,	 4.795861,	 -1.569172,	 -0.849329,
-0.632025,	 -1.255714,	 -0.558884,	 4.834491,	 -1.494508,	 -0.816126,
-0.606565,	 -1.263402,	 -0.563098,	 4.871789,	 -1.419003,	 -0.782502,
-0.580912,	 -1.270692,	 -0.567135,	 4.907731,	 -1.342675,	 -0.748463,
-0.555074,	 -1.277579,	 -0.570992,	 4.942291,	 -1.265541,	 -0.714018,
-0.529056,	 -1.284060,	 -0.574668,	 4.975444,	 -1.187618,	 -0.679173,
-0.502868,	 -1.290130,	 -0.578160,	 5.007164,	 -1.108926,	 -0.643936,
-0.476516,	 -1.295785,	 -0.581466,	 5.037426,	 -1.029485,	 -0.608316,
-0.450009,	 -1.301022,	 -0.584584,	 5.066205,	 -0.949313,	 -0.572321,
-0.423353,	 -1.305836,	 -0.587512,	 5.093477,	 -0.868433,	 -0.535961,
-0.396558,	 -1.310225,	 -0.590249,	 5.119216,	 -0.786866,	 -0.499244,
-0.369630,	 -1.314183,	 -0.592793,	 5.143398,	 -0.704635,	 -0.462180,
-0.342579,	 -1.317709,	 -0.595141,	 5.166000,	 -0.621762,	 -0.424779,
-0.315413,	 -1.320798,	 -0.597292,	 5.186997,	 -0.538272,	 -0.387052,
-0.288140,	 -1.323448,	 -0.599244,	 5.206366,	 -0.454190,	 -0.349009,
-0.260769,	 -1.325655,	 -0.600996,	 5.224083,	 -0.369540,	 -0.310661,
