0.063021,	 -0.398506,	 -0.219405,	 8.115463,	 2.016126,	 0.235386,
0.123192,	 -0.379736,	 -0.215618,	 7.844633,	 3.229704,	 0.911727,
0.180731,	 -0.351918,	 -0.206726,	 7.370823,	 4.422210,	 1.597861,
0.234074,	 -0.315265,	 -0.192678,	 6.679774,	 5.573621,	 2.284570,
0.281545,	 -0.270163,	 -0.173509,	 5.755803,	 6.656830,	 2.959002,
0.321351,	 -0.217225,	 -0.149359,	 4.584243,	 7.635356,	 3.603190,
0.351603,	 -0.157374,	 -0.120525,	 3.155683,	 8.461186,	 4.192464,
0.370370,	 -0.091929,	 -0.087513,	 1.472773,	 9.073639,	 4.694134,
0.375802,	 -0.022701,	 -0.051097,	 -0.440024,	 9.400969,	 5.067339,
0.366326,	 0.047944,	 -0.012378,	 -2.524709,	 9.367316,	 5.265542,
0.340928,	 0.117089,	 0.027192,	 -4.679891,	 8.907521,	 5.243425,
0.299492,	 0.181417,	 0.065850,	 -6.760334,	 7.989696,	 4.968891,
0.243088,	 0.237527,	 0.101671,	 -8.594516,	 6.638882,	 4.437530,
0.174063,	 0.282410,	 0.132805,	 -10.021765,	 4.948224,	 3.682437,
0.095833,	 0.313938,	 0.157758,	 -10.935740,	 3.065332,	 2.771433,
0.012373,	 0.331169,	 0.175617,	 -11.311120,	 1.155899,	 1.790399,
-0.072390,	 0.334355,	 0.186109,	 -11.199191,	 -0.636901,	 0.821134,
-0.155083,	 0.324691,	 0.189522,	 -10.699164,	 -2.217353,	 -0.074947,
-0.233134,	 0.303932,	 0.186527,	 -9.924352,	 -3.540442,	 -0.862048,
-0.304803,	 0.274044,	 0.177994,	 -8.977888,	 -4.600634,	 -1.526518,
-0.369062,	 0.236953,	 0.164844,	 -7.941577,	 -5.416567,	 -2.069829,
-0.425427,	 0.194405,	 0.147962,	 -6.874408,	 -6.018183,	 -2.501858,
-0.473796,	 0.147909,	 0.128141,	 -5.815885,	 -6.438266,	 -2.836022,
-0.514314,	 0.098732,	 0.106074,	 -4.790719,	 -6.707831,	 -3.086324,
-0.547281,	 0.047918,	 0.082349,	 -3.813196,	 -6.854109,	 -3.265830,
-0.573078,	 -0.003680,	 0.057462,	 -2.890620,	 -6.900016,	 -3.386022,
-0.592128,	 -0.055367,	 0.031828,	 -2.025807,	 -6.864366,	 -3.456659,
-0.604866,	 -0.106580,	 0.005793,	 -1.218808,	 -6.762376,	 -3.485865,
