21.915564,	 -18.862450,	 -8.266141,	 0.777249,	 0.784305,	 0.301636,
24.899162,	 -15.447469,	 -6.942790,	 0.638840,	 0.889115,	 0.347982,
27.284512,	 -11.635266,	 -5.441957,	 0.484621,	 0.972182,	 0.385822,
29.012747,	 -7.519031,	 -3.800316,	 0.318529,	 1.031503,	 0.414239,
30.041906,	 -3.199211,	 -2.057933,	 0.144879,	 1.065699,	 0.432562,
30.348305,	 1.219210,	 -0.257184,	 -0.031754,	 1.074107,	 0.440404,
29.927330,	 5.629781,	 1.558475,	 -0.206703,	 1.056841,	 0.437697,
28.793547,	 9.927844,	 3.345848,	 -0.375391,	 1.014815,	 0.424700,
26.979990,	 14.013803,	 5.063348,	 -0.533524,	 0.949717,	 0.401997,
24.536697,	 17.796211,	 6.672301,	 -0.677275,	 0.863933,	 0.370468,
21.528502,	 21.194454,	 8.138097,	 -0.803445,	 0.760420,	 0.331246,
18.032244,	 24.140858,	 9.431125,	 -0.909571,	 0.642553,	 0.285649,
14.133616,	 26.582119,	 10.527432,	 -0.993990,	 0.513943,	 0.235115,
9.923845,	 28.479998,	 11.409095,	 -1.055841,	 0.378264,	 0.181125,
5.496429,	 29.811275,	 12.064282,	 -1.095020,	 0.239084,	 0.125138,
0.944158,	 30.567110,	 12.487062,	 -1.112095,	 0.099735,	 0.068530,
-3.643483,	 30.751856,	 12.676984,	 -1.108192,	 -0.036798,	 0.012552,
-8.182403,	 30.381531,	 12.638512,	 -1.084865,	 -0.167932,	 -0.041700,
-12.595473,	 29.482086,	 12.380344,	 -1.043979,	 -0.291525,	 -0.093303,
-16.813597,	 28.087591,	 11.914703,	 -0.987581,	 -0.405869,	 -0.141508,
-20.776304,	 26.238449,	 11.256620,	 -0.917810,	 -0.509677,	 -0.185733,
-24.431969,	 23.979748,	 10.423260,	 -0.836805,	 -0.602039,	 -0.225553,
-27.737717,	 21.359747,	 9.433308,	 -0.746647,	 -0.682379,	 -0.260682,
-30.659092,	 18.428600,	 8.306432,	 -0.649314,	 -0.750407,	 -0.290950,
-33.169582,	 15.237264,	 7.062827,	 -0.546648,	 -0.806067,	 -0.316288,
-35.250042,	 11.836587,	 5.722828,	 -0.440342,	 -0.849492,	 -0.336710,
-36.888039,	 8.276614,	 4.306607,	 -0.331934,	 -0.880966,	 -0.352293,
-38.077229,	 4.606031,	 2.833933,	 -0.222805,	 -0.900881,	 -0.363163,
-38.816730,	 0.871746,	 1.323981,	 -0.114192,	 -0.909718,	 -0.369486,
-39.110516,	 -2.881411,	 -0.204800,	 -0.007189,	 -0.908012,	 -0.371454,
-38.966881,	 -6.610894,	 -1.734791,	 0.097230,	 -0.896341,	 -0.369279,
-38.397923,	 -10.276584,	 -3.249270,	 0.198210,	 -0.875307,	 -0.363187,
-37.419113,	 -13.840869,	 -4.732458,	 0.294993,	 -0.845525,	 -0.353409,
-36.048893,	 -17.268694,	 -6.169549,	 0.386912,	 -0.807619,	 -0.340185,
-34.308331,	 -20.527576,	 -7.546720,	 0.473374,	 -0.762213,	 -0.323755,
-32.220818,	 -23.587601,	 -8.851150,	 0.553857,	 -0.709928,	 -0.304361,
-29.811794,	 -26.421417,	 -10.071006,	 0.627896,	 -0.651384,	 -0.282245,
-27.108547,	 -29.004229,	 -11.195462,	 0.695078,	 -0.587198,	 -0.257649,
-24.139982,	 -31.313778,	 -12.214687,	 0.755033,	 -0.517986,	 -0.230816,
-20.936464,	 -33.330345,	 -13.119855,	 0.807436,	 -0.444362,	 -0.201988,
-17.529638,	 -35.036747,	 -13.903143,	 0.851994,	 -0.366944,	 -0.171413,
-13.952296,	 -36.418365,	 -14.557749,	 0.888452,	 -0.286355,	 -0.139338,
-10.238229,	 -37.463154,	 -15.077903,	 0.916588,	 -0.203226,	 -0.106015,
-6.422082,	 -38.161690,	 -15.458887,	 0.936215,	 -0.118199,	 -0.071704,
-2.539219,	 -38.507214,	 -15.697055,	 0.947183,	 -0.031929,	 -0.036669,
1.374441,	 -38.495705,	 -15.789862,	 0.949378,	 0.054915,	 -0.001180,
5.282586,	 -38.125923,	 -15.735897,	 0.942733,	 0.141644,	 0.034482,
9.148691,	 -37.399506,	 -15.534917,	 0.927224,	 0.227554,	 0.070030,
12.936233,	 -36.321007,	 -15.187882,	 0.902884,	 0.311922,	 0.105167,
16.608910,	 -34.898014,	 -14.696987,	 0.869805,	 0.394009,	 0.139588,
20.130911,	 -33.141163,	 -14.065696,	 0.828145,	 0.473063,	 0.172982,
23.467207,	 -31.064219,	 -13.298770,	 0.778139,	 0.548325,	 0.205031,
26.583858,	 -28.684086,	 -12.402282,	 0.720103,	 0.619030,	 0.235415,
29.448378,	 -26.020813,	 -11.383626,	 0.654440,	 0.684422,	 0.263815,
32.030102,	 -23.097549,	 -10.251513,	 0.581652,	 0.743759,	 0.289915,
34.300591,	 -19.940454,	 -9.015944,	 0.502337,	 0.796330,	 0.313407,
36.234051,	 -16.578560,	 -7.688155,	 0.417197,	 0.841465,	 0.334001,
37.807735,	 -13.043578,	 -6.280560,	 0.327034,	 0.878550,	 0.351426,
39.002380,	 -9.369623,	 -4.806642,	 0.232749,	 0.907049,	 0.365440,
39.802593,	 -5.592884,	 -3.280828,	 0.135331,	 0.926515,	 0.375834,
40.197186,	 -1.751216,	 -1.718332,	 0.035851,	 0.936610,	 0.382445,
40.179504,	 2.116327,	 -0.134974,	 -0.064560,	 0.937119,	 0.385155,
39.747646,	 5.970021,	 1.453036,	 -0.164724,	 0.927961,	 0.383903,
38.904594,	 9.770047,	 3.029326,	 -0.263444,	 0.909200,	 0.378684,
37.658276,	 13.477098,	 4.577610,	 -0.359530,	 0.881050,	 0.369557,
36.021500,	 17.052990,	 6.081944,	 -0.451820,	 0.843874,	 0.356641,
34.011745,	 20.461287,	 7.526977,	 -0.539214,	 0.798179,	 0.340116,
31.650932,	 23.667860,	 8.898195,	 -0.620698,	 0.744607,	 0.320220,
28.964966,	 26.641436,	 10.182155,	 -0.695365,	 0.683917,	 0.297242,
25.983292,	 29.354042,	 11.366670,	 -0.762439,	 0.616968,	 0.271512,
22.738327,	 31.781382,	 12.440991,	 -0.821286,	 0.544695,	 0.243398,
19.264856,	 33.903107,	 13.395926,	 -0.871426,	 0.468085,	 0.213292,
15.599380,	 35.702991,	 14.223920,	 -0.912533,	 0.388150,	 0.181601,
11.779486,	 37.169006,	 14.919113,	 -0.944440,	 0.305906,	 0.148734,
7.843210,	 38.293274,	 15.477332,	 -0.967124,	 0.222346,	 0.115100,
3.828449,	 39.071949,	 15.896065,	 -0.980700,	 0.138424,	 0.081091,
