-4.109299,	 -29.569330,	 -7.990734,	 1.157005,	 -0.213176,	 -0.415426,
-2.665095,	 -29.804255,	 -8.499553,	 1.162599,	 -0.164210,	 -0.401828,
-1.215457,	 -29.978601,	 -8.991097,	 1.165742,	 -0.115887,	 -0.387692,
0.236617,	 -30.093262,	 -9.464749,	 1.166523,	 -0.068345,	 -0.373087,
1.688245,	 -30.149281,	 -9.919958,	 1.165039,	 -0.021705,	 -0.358082,
3.136673,	 -30.147842,	 -10.356271,	 1.161394,	 0.023924,	 -0.342740,
4.579278,	 -30.090277,	 -10.773308,	 1.155698,	 0.068447,	 -0.327125,
6.013573,	 -29.978012,	 -11.170765,	 1.148062,	 0.111783,	 -0.311295,
7.437217,	 -29.812580,	 -11.548410,	 1.138602,	 0.153863,	 -0.295307,
8.848008,	 -29.595552,	 -11.906079,	 1.127433,	 0.194630,	 -0.279214,
10.243892,	 -29.328611,	 -12.243670,	 1.114670,	 0.234040,	 -0.263064,
11.622957,	 -29.013460,	 -12.561144,	 1.100427,	 0.272058,	 -0.246903,
12.983423,	 -28.651861,	 -12.858511,	 1.084815,	 0.308658,	 -0.230771,
14.323665,	 -28.245581,	 -13.135832,	 1.067944,	 0.343825,	 -0.214706,
15.642171,	 -27.796417,	 -13.393206,	 1.049917,	 0.377550,	 -0.198743,
16.937569,	 -27.306170,	 -13.630793,	 1.030835,	 0.409833,	 -0.182912,
18.208603,	 -26.776619,	 -13.848766,	 1.010796,	 0.440678,	 -0.167241,
19.454140,	 -26.209557,	 -14.047340,	 0.989891,	 0.470098,	 -0.151755,
20.673159,	 -25.606741,	 -14.226759,	 0.968207,	 0.498106,	 -0.136473,
21.864737,	 -24.969917,	 -14.387288,	 0.945826,	 0.524723,	 -0.121416,
23.028059,	 -24.300814,	 -14.529220,	 0.922827,	 0.549972,	 -0.106600,
24.162403,	 -23.601112,	 -14.652862,	 0.899281,	 0.573878,	 -0.092038,
25.267136,	 -22.872473,	 -14.758536,	 0.875258,	 0.596470,	 -0.077742,
26.341690,	 -22.116495,	 -14.846586,	 0.850820,	 0.617779,	 -0.063722,
27.385597,	 -21.334770,	 -14.917354,	 0.826027,	 0.637834,	 -0.049985,
28.398439,	 -20.528837,	 -14.971203,	 0.800933,	 0.656670,	 -0.036539,
29.379881,	 -19.700195,	 -15.008493,	 0.775590,	 0.674320,	 -0.023388,
30.329643,	 -18.850302,	 -15.029595,	 0.750045,	 0.690816,	 -0.010536,
31.247494,	 -17.980564,	 -15.034883,	 0.724341,	 0.706194,	 0.002015,
32.133255,	 -17.092365,	 -15.024734,	 0.698518,	 0.720488,	 0.014264,
