-3.743992,	 7.568259,	 3.287091,	 -1.963508,	 -0.814936,	 -0.252102,
-4.036231,	 7.441536,	 3.247325,	 -1.932572,	 -0.874625,	 -0.278087,
-4.323661,	 7.305947,	 3.203691,	 -1.899402,	 -0.933145,	 -0.303686,
-4.605952,	 7.161673,	 3.156249,	 -1.864053,	 -0.990423,	 -0.328865,
-4.882782,	 7.008904,	 3.105061,	 -1.826583,	 -1.046386,	 -0.353592,
-5.153837,	 6.847843,	 3.050202,	 -1.787055,	 -1.100964,	 -0.377836,
-5.418812,	 6.678704,	 2.991744,	 -1.745533,	 -1.154092,	 -0.401566,
-5.677413,	 6.501709,	 2.929766,	 -1.702085,	 -1.205706,	 -0.424755,
-5.929358,	 6.317085,	 2.864352,	 -1.656779,	 -1.255747,	 -0.447373,
-6.174373,	 6.125080,	 2.795591,	 -1.609690,	 -1.304158,	 -0.469395,
-6.412194,	 5.925936,	 2.723572,	 -1.560890,	 -1.350885,	 -0.490795,
-6.642573,	 5.719914,	 2.648391,	 -1.510456,	 -1.395880,	 -0.511550,
-6.865270,	 5.507276,	 2.570145,	 -1.458466,	 -1.439096,	 -0.531637,
-7.080056,	 5.288291,	 2.488940,	 -1.404999,	 -1.480491,	 -0.551036,
-7.286717,	 5.063235,	 2.404875,	 -1.350136,	 -1.520025,	 -0.569726,
-7.485048,	 4.832390,	 2.318063,	 -1.293957,	 -1.557663,	 -0.587689,
-7.674860,	 4.596044,	 2.228611,	 -1.236545,	 -1.593373,	 -0.604909,
-7.855974,	 4.354485,	 2.136633,	 -1.177983,	 -1.627126,	 -0.621371,
-8.028220,	 4.108014,	 2.042244,	 -1.118354,	 -1.658898,	 -0.637060,
-8.191449,	 3.856925,	 1.945559,	 -1.057741,	 -1.688666,	 -0.651963,
-8.345520,	 3.601522,	 1.846698,	 -0.996229,	 -1.716413,	 -0.666071,
-8.490296,	 3.342111,	 1.745782,	 -0.933900,	 -1.742122,	 -0.679372,
-8.625669,	 3.078995,	 1.642931,	 -0.870837,	 -1.765784,	 -0.691859,
-8.751537,	 2.812485,	 1.538269,	 -0.807123,	 -1.787388,	 -0.703524,
-8.867802,	 2.542888,	 1.431919,	 -0.742841,	 -1.806930,	 -0.714362,
-8.974385,	 2.270514,	 1.324005,	 -0.678070,	 -1.824407,	 -0.724368,
-9.071220,	 1.995673,	 1.214653,	 -0.612892,	 -1.839819,	 -0.733538,
-9.158255,	 1.718675,	 1.103988,	 -0.547385,	 -1.853169,	 -0.741871,
-9.235444,	 1.439829,	 0.992136,	 -0.481629,	 -1.864463,	 -0.749366,
-9.302753,	 1.159442,	 0.879223,	 -0.415699,	 -1.873710,	 -0.756023,
