-0.639809,	 0.687320,	 0.297981,	 -4.877347,	 -3.763303,	 -1.631538,
-0.663929,	 0.668221,	 0.289701,	 -4.743317,	 -3.903570,	 -1.692350,
-0.687370,	 0.648430,	 0.281120,	 -4.604517,	 -4.039692,	 -1.751364,
-0.710108,	 0.627966,	 0.272248,	 -4.461103,	 -4.171529,	 -1.808521,
-0.732119,	 0.606851,	 0.263094,	 -4.313240,	 -4.298950,	 -1.863763,
-0.753383,	 0.585109,	 0.253668,	 -4.161096,	 -4.421829,	 -1.917036,
-0.773878,	 0.562762,	 0.243980,	 -4.004841,	 -4.540043,	 -1.968286,
-0.793583,	 0.539833,	 0.234039,	 -3.844653,	 -4.653478,	 -2.017465,
-0.812480,	 0.516346,	 0.223857,	 -3.680712,	 -4.762025,	 -2.064524,
-0.830550,	 0.492327,	 0.213443,	 -3.513200,	 -4.865581,	 -2.109420,
-0.847775,	 0.467800,	 0.202810,	 -3.342307,	 -4.964047,	 -2.152109,
-0.864140,	 0.442791,	 0.191968,	 -3.168221,	 -5.057334,	 -2.192552,
-0.879628,	 0.417326,	 0.180928,	 -2.991135,	 -5.145356,	 -2.230713,
-0.894225,	 0.391432,	 0.169701,	 -2.811246,	 -5.228035,	 -2.266558,
-0.907917,	 0.365135,	 0.158301,	 -2.628751,	 -5.305300,	 -2.300056,
-0.920692,	 0.338463,	 0.146737,	 -2.443850,	 -5.377086,	 -2.331178,
-0.932538,	 0.311443,	 0.135023,	 -2.256745,	 -5.443333,	 -2.359898,
-0.943444,	 0.284102,	 0.123170,	 -2.067638,	 -5.503989,	 -2.386195,
-0.953401,	 0.256470,	 0.111190,	 -1.876734,	 -5.559008,	 -2.410048,
-0.962401,	 0.228574,	 0.099096,	 -1.684239,	 -5.608352,	 -2.431441,
-0.970435,	 0.200443,	 0.086900,	 -1.490357,	 -5.651988,	 -2.450359,
-0.977497,	 0.172105,	 0.074615,	 -1.295296,	 -5.689890,	 -2.466791,
-0.983581,	 0.143589,	 0.062252,	 -1.099262,	 -5.722039,	 -2.480729,
-0.988684,	 0.114924,	 0.049824,	 -0.902460,	 -5.748421,	 -2.492167,
-0.992802,	 0.086138,	 0.037344,	 -0.705098,	 -5.769030,	 -2.501102,
-0.995932,	 0.057261,	 0.024825,	 -0.507379,	 -5.783867,	 -2.507534,
-0.998074,	 0.028321,	 0.012279,	 -0.309509,	 -5.792936,	 -2.511466,
