18.382223,	 -7.257019,	 -3.438336,	 0.563699,	 1.144402,	 0.493284,
18.611034,	 -6.773316,	 -3.229706,	 0.525722,	 1.158807,	 0.500130,
18.823803,	 -6.283775,	 -3.018294,	 0.487331,	 1.172199,	 0.506538,
19.020369,	 -5.788823,	 -2.804281,	 0.448553,	 1.184570,	 0.512505,
19.200562,	 -5.288890,	 -2.587856,	 0.409419,	 1.195914,	 0.518026,
19.364254,	 -4.784409,	 -2.369206,	 0.369956,	 1.206223,	 0.523099,
19.511318,	 -4.275816,	 -2.148521,	 0.330195,	 1.215491,	 0.527720,
19.641615,	 -3.763551,	 -1.925989,	 0.290164,	 1.223712,	 0.531887,
19.755053,	 -3.248053,	 -1.701803,	 0.249893,	 1.230880,	 0.535596,
19.851536,	 -2.729765,	 -1.476156,	 0.209410,	 1.236991,	 0.538844,
19.930975,	 -2.209133,	 -1.249241,	 0.168746,	 1.242041,	 0.541631,
19.993299,	 -1.686604,	 -1.021253,	 0.127930,	 1.246024,	 0.543952,
20.038454,	 -1.162626,	 -0.792388,	 0.086991,	 1.248939,	 0.545807,
20.066391,	 -0.637647,	 -0.562842,	 0.045960,	 1.250782,	 0.547194,
20.077084,	 -0.112120,	 -0.332812,	 0.004866,	 1.251551,	 0.548112,
20.070509,	 0.413504,	 -0.102495,	 -0.036262,	 1.251243,	 0.548558,
20.046659,	 0.938773,	 0.127911,	 -0.077392,	 1.249858,	 0.548532,
20.005541,	 1.463235,	 0.358207,	 -0.118496,	 1.247393,	 0.548034,
19.947166,	 1.986435,	 0.588194,	 -0.159542,	 1.243850,	 0.547062,
19.871572,	 2.507921,	 0.817674,	 -0.200500,	 1.239228,	 0.545616,
19.778799,	 3.027241,	 1.046447,	 -0.241340,	 1.233528,	 0.543697,
19.668901,	 3.543940,	 1.274315,	 -0.282031,	 1.226751,	 0.541303,
19.541960,	 4.057568,	 1.501078,	 -0.322543,	 1.218898,	 0.538436,
19.398039,	 4.567672,	 1.726538,	 -0.362844,	 1.209972,	 0.535096,
19.237242,	 5.073802,	 1.950496,	 -0.402904,	 1.199976,	 0.531284,
19.059671,	 5.575511,	 2.172754,	 -0.442692,	 1.188913,	 0.527001,
18.865458,	 6.072351,	 2.393114,	 -0.482175,	 1.176788,	 0.522248,
18.654724,	 6.563875,	 2.611381,	 -0.521324,	 1.163604,	 0.517026,
18.427624,	 7.049643,	 2.827356,	 -0.560107,	 1.149367,	 0.511339,
18.184320,	 7.529209,	 3.040845,	 -0.598491,	 1.134084,	 0.505187,
17.924988,	 8.002140,	 3.251654,	 -0.636445,	 1.117760,	 0.498573,
17.649807,	 8.467994,	 3.459589,	 -0.673938,	 1.100402,	 0.491501,
17.358978,	 8.926347,	 3.664457,	 -0.710938,	 1.082020,	 0.483972,
17.052723,	 9.376764,	 3.866068,	 -0.747412,	 1.062621,	 0.475990,
16.731258,	 9.818824,	 4.064233,	 -0.783329,	 1.042214,	 0.467560,
16.394842,	 10.252104,	 4.258762,	 -0.818657,	 1.020810,	 0.458684,
16.043705,	 10.676188,	 4.449473,	 -0.853363,	 0.998420,	 0.449368,
15.678138,	 11.090662,	 4.636178,	 -0.887415,	 0.975056,	 0.439615,
15.298403,	 11.495119,	 4.818698,	 -0.920781,	 0.950729,	 0.429431,
14.904808,	 11.889160,	 4.996849,	 -0.953428,	 0.925453,	 0.418822,
14.497658,	 12.272389,	 5.170459,	 -0.985326,	 0.899242,	 0.407792,
14.077274,	 12.644414,	 5.339347,	 -1.016440,	 0.872112,	 0.396349,
13.643991,	 13.004861,	 5.503345,	 -1.046740,	 0.844078,	 0.384498,
13.198157,	 13.353343,	 5.662281,	 -1.076193,	 0.815157,	 0.372247,
12.740135,	 13.689492,	 5.815989,	 -1.104768,	 0.785367,	 0.359603,
12.270306,	 14.012955,	 5.964304,	 -1.132432,	 0.754727,	 0.346573,
11.789047,	 14.323369,	 6.107066,	 -1.159154,	 0.723256,	 0.333166,
11.296773,	 14.620400,	 6.244123,	 -1.184902,	 0.690975,	 0.319391,
10.793893,	 14.903706,	 6.375317,	 -1.209646,	 0.657906,	 0.305256,
10.280834,	 15.172959,	 6.500501,	 -1.233355,	 0.624071,	 0.290772,
