0.065558,	 -0.658969,	 -0.300620,	 7.302997,	 0.750424,	 -0.124552,
0.088889,	 -0.656223,	 -0.300861,	 7.277646,	 0.966374,	 -0.025792,
0.112127,	 -0.652787,	 -0.300786,	 7.244660,	 1.181228,	 0.072959,
0.135247,	 -0.648666,	 -0.300395,	 7.204080,	 1.394767,	 0.171599,
0.158225,	 -0.643864,	 -0.299689,	 7.155952,	 1.606771,	 0.270026,
0.181037,	 -0.638386,	 -0.298668,	 7.100330,	 1.817025,	 0.368139,
0.203660,	 -0.632238,	 -0.297333,	 7.037276,	 2.025314,	 0.465839,
0.226069,	 -0.625427,	 -0.295688,	 6.966859,	 2.231425,	 0.563025,
0.248240,	 -0.617961,	 -0.293732,	 6.889154,	 2.435148,	 0.659598,
0.270152,	 -0.609846,	 -0.291468,	 6.804244,	 2.636276,	 0.755459,
0.291781,	 -0.601093,	 -0.288898,	 6.712220,	 2.834603,	 0.850511,
0.313103,	 -0.591709,	 -0.286026,	 6.613177,	 3.029928,	 0.944656,
0.334098,	 -0.581706,	 -0.282854,	 6.507219,	 3.222051,	 1.037798,
0.354743,	 -0.571093,	 -0.279386,	 6.394457,	 3.410778,	 1.129843,
0.375016,	 -0.559882,	 -0.275625,	 6.275007,	 3.595914,	 1.220695,
0.394897,	 -0.548084,	 -0.271575,	 6.148992,	 3.777273,	 1.310264,
0.414364,	 -0.535713,	 -0.267241,	 6.016542,	 3.954668,	 1.398457,
0.433397,	 -0.522780,	 -0.262627,	 5.877793,	 4.127919,	 1.485183,
0.451976,	 -0.509300,	 -0.257738,	 5.732886,	 4.296849,	 1.570356,
0.470082,	 -0.495286,	 -0.252579,	 5.581970,	 4.461284,	 1.653886,
0.487695,	 -0.480753,	 -0.247156,	 5.425197,	 4.621056,	 1.735689,
0.504798,	 -0.465717,	 -0.241473,	 5.262729,	 4.776001,	 1.815681,
0.521372,	 -0.450193,	 -0.235538,	 5.094729,	 4.925959,	 1.893780,
0.537400,	 -0.434197,	 -0.229356,	 4.921369,	 5.070776,	 1.969904,
0.552864,	 -0.417747,	 -0.222933,	 4.742824,	 5.210303,	 2.043977,
0.567749,	 -0.400858,	 -0.216277,	 4.559276,	 5.344393,	 2.115920,
0.582040,	 -0.383550,	 -0.209394,	 4.370910,	 5.472909,	 2.185660,
0.595719,	 -0.365839,	 -0.202292,	 4.177918,	 5.595715,	 2.253125,
0.608775,	 -0.347744,	 -0.194977,	 3.980494,	 5.712683,	 2.318243,
0.621192,	 -0.329285,	 -0.187458,	 3.778840,	 5.823691,	 2.380947,
0.632956,	 -0.310480,	 -0.179742,	 3.573160,	 5.928620,	 2.441171,
0.644057,	 -0.291349,	 -0.171837,	 3.363663,	 6.027359,	 2.498852,
0.654481,	 -0.271912,	 -0.163752,	 3.150561,	 6.119803,	 2.553929,
0.664218,	 -0.252189,	 -0.155496,	 2.934071,	 6.205852,	 2.606343,
0.673257,	 -0.232202,	 -0.147075,	 2.714414,	 6.285412,	 2.656039,
0.681589,	 -0.211970,	 -0.138500,	 2.491813,	 6.358397,	 2.702962,
0.689204,	 -0.191516,	 -0.129779,	 2.266495,	 6.424725,	 2.747062,
0.696093,	 -0.170860,	 -0.120922,	 2.038690,	 6.484323,	 2.788292,
0.702250,	 -0.150024,	 -0.111938,	 1.808633,	 6.537122,	 2.826606,
0.707668,	 -0.129030,	 -0.102835,	 1.576557,	 6.583062,	 2.861961,
0.712340,	 -0.107900,	 -0.093625,	 1.342702,	 6.622088,	 2.894318,
0.716261,	 -0.086656,	 -0.084315,	 1.107308,	 6.654152,	 2.923641,
0.719427,	 -0.065321,	 -0.074917,	 0.870618,	 6.679214,	 2.949895,
0.721833,	 -0.043917,	 -0.065439,	 0.632876,	 6.697240,	 2.973051,
0.723478,	 -0.022466,	 -0.055893,	 0.394328,	 6.708203,	 2.993079,
0.724358,	 -0.000992,	 -0.046287,	 0.155221,	 6.712084,	 3.009957,
0.724472,	 0.020484,	 -0.036633,	 -0.084196,	 6.708870,	 3.023663,
0.723821,	 0.041938,	 -0.026939,	 -0.323674,	 6.698555,	 3.034177,
0.722403,	 0.063347,	 -0.017217,	 -0.562962,	 6.681141,	 3.041486,
0.720219,	 0.084689,	 -0.007477,	 -0.801809,	 6.656639,	 3.045578,
0.717273,	 0.105942,	 0.002271,	 -1.039966,	 6.625062,	 3.046443,
0.713566,	 0.127083,	 0.012017,	 -1.277180,	 6.586437,	 3.044078,
0.709102,	 0.148088,	 0.021750,	 -1.513203,	 6.540793,	 3.038479,
0.703885,	 0.168937,	 0.031460,	 -1.747782,	 6.488168,	 3.029648,
0.697920,	 0.189605,	 0.041136,	 -1.980670,	 6.428609,	 3.017591,
0.691212,	 0.210073,	 0.050769,	 -2.211618,	 6.362168,	 3.002315,
0.683769,	 0.230316,	 0.060348,	 -2.440379,	 6.288906,	 2.983831,
0.675598,	 0.250315,	 0.069862,	 -2.666709,	 6.208889,	 2.962155,
0.666707,	 0.270047,	 0.079302,	 -2.890363,	 6.122194,	 2.937304,
0.657104,	 0.289491,	 0.088658,	 -3.111100,	 6.028902,	 2.909302,
0.646801,	 0.308625,	 0.097918,	 -3.328681,	 5.929103,	 2.878171,
0.635806,	 0.327431,	 0.107075,	 -3.542870,	 5.822892,	 2.843942,
0.624131,	 0.345886,	 0.116117,	 -3.753434,	 5.710374,	 2.806645,
0.611789,	 0.363971,	 0.125034,	 -3.960141,	 5.591659,	 2.766316,
0.598792,	 0.381667,	 0.133818,	 -4.162765,	 5.466864,	 2.722994,
0.585154,	 0.398953,	 0.142459,	 -4.361082,	 5.336114,	 2.676720,
0.570887,	 0.415812,	 0.150946,	 -4.554874,	 5.199540,	 2.627539,
0.556009,	 0.432225,	 0.159272,	 -4.743924,	 5.057281,	 2.575500,
0.540533,	 0.448174,	 0.167427,	 -4.928023,	 4.909479,	 2.520654,
0.524476,	 0.463641,	 0.175402,	 -5.106964,	 4.756287,	 2.463057,
0.507855,	 0.478610,	 0.183188,	 -5.280546,	 4.597861,	 2.402766,
0.490688,	 0.493063,	 0.190777,	 -5.448574,	 4.434364,	 2.339842,
0.472991,	 0.506985,	 0.198161,	 -5.610857,	 4.265967,	 2.274349,
0.454786,	 0.520361,	 0.205331,	 -5.767210,	 4.092844,	 2.206356,
0.436089,	 0.533176,	 0.212279,	 -5.917456,	 3.915177,	 2.135931,
0.416922,	 0.545415,	 0.218999,	 -6.061421,	 3.733151,	 2.063148,
0.397304,	 0.557064,	 0.225481,	 -6.198940,	 3.546960,	 1.988083,
0.377256,	 0.568112,	 0.231720,	 -6.329853,	 3.356800,	 1.910814,
0.356801,	 0.578545,	 0.237709,	 -6.454008,	 3.162872,	 1.831423,
0.335959,	 0.588352,	 0.243440,	 -6.571260,	 2.965385,	 1.749993,
0.314753,	 0.597521,	 0.248907,	 -6.681471,	 2.764549,	 1.666612,
0.293206,	 0.606043,	 0.254105,	 -6.784511,	 2.560580,	 1.581366,
0.271340,	 0.613907,	 0.259027,	 -6.880256,	 2.353698,	 1.494349,
0.249180,	 0.621105,	 0.263667,	 -6.968592,	 2.144127,	 1.405653,
0.226750,	 0.627629,	 0.268022,	 -7.049412,	 1.932094,	 1.315373,
0.204073,	 0.633470,	 0.272085,	 -7.122618,	 1.717830,	 1.223608,
0.181174,	 0.638622,	 0.275852,	 -7.188120,	 1.501568,	 1.130456,
0.158078,	 0.643079,	 0.279319,	 -7.245836,	 1.283546,	 1.036020,
0.134809,	 0.646836,	 0.282482,	 -7.295693,	 1.064001,	 0.940402,
0.111394,	 0.649889,	 0.285337,	 -7.337628,	 0.843177,	 0.843706,
0.087857,	 0.652233,	 0.287881,	 -7.371585,	 0.621316,	 0.746039,
0.064224,	 0.653865,	 0.290111,	 -7.397518,	 0.398663,	 0.647508,
0.040522,	 0.654785,	 0.292025,	 -7.415391,	 0.175465,	 0.548222,
0.016775,	 0.654989,	 0.293620,	 -7.425176,	 -0.048030,	 0.448290,
-0.006991,	 0.654479,	 0.294894,	 -7.426854,	 -0.271574,	 0.347823,
-0.030749,	 0.653253,	 0.295846,	 -7.420416,	 -0.494918,	 0.246933,
-0.054473,	 0.651313,	 0.296475,	 -7.405863,	 -0.717812,	 0.145731,
-0.078138,	 0.648661,	 0.296780,	 -7.383205,	 -0.940008,	 0.044330,
-0.101717,	 0.645300,	 0.296759,	 -7.352460,	 -1.161257,	 -0.057156,
-0.125185,	 0.641232,	 0.296415,	 -7.313658,	 -1.381310,	 -0.158614,
-0.148516,	 0.636462,	 0.295745,	 -7.266837,	 -1.599922,	 -0.259931,
-0.171685,	 0.630995,	 0.294752,	 -7.212043,	 -1.816846,	 -0.360994,
-0.194665,	 0.624838,	 0.293436,	 -7.149334,	 -2.031839,	 -0.461688,
-0.217432,	 0.617995,	 0.291798,	 -7.078776,	 -2.244659,	 -0.561902,
-0.239961,	 0.610476,	 0.289841,	 -7.000444,	 -2.455066,	 -0.661522,
-0.262228,	 0.602287,	 0.287566,	 -6.914423,	 -2.662824,	 -0.760436,
-0.284206,	 0.593438,	 0.284975,	 -6.820806,	 -2.867698,	 -0.858534,
-0.305873,	 0.583939,	 0.282073,	 -6.719697,	 -3.069458,	 -0.955705,
